name,address,city,lattitude,longitude
Lebanon,,"Lebanon, NH",43.634146,-72.252426
Vietnam,,,14.572049,108.128215
New Hampshire,,,43.377371,-71.61681
Canaan,,"Canaan, NH",43.677204,-72.045856
Dartmouth,,"Hanover, NH",43.704425,-72.288704
Milwaukee,,"Milwaukee, WI",43.020668,-87.909074
New Hampshire,,,43.377371,-71.61681
Lebanon,,"Lebanon, NH",43.634146,-72.252426
Dartmouth,,"Hanover, NH",43.704425,-72.288704
New Hampshire,,,43.377371,-71.61681
Milwaukee,,"Milwaukee, WI",43.020668,-87.909074
Dartmouth,,"Hanover, NH",43.704425,-72.288704
Webster Hall,,"Hanover, NH",43.706482,-72.292566
Lebanon,,"Lebanon, NH",43.634146,-72.252426
New Hampshire,,,43.377371,-71.61681
American,,,37.160477,-96.277202
Wisconsin,,WI,43.028198,-87.91182
Wisconsin,,WI,43.028198,-87.91182
New Hampshire,,,43.377371,-71.61681
Milwaukee,,"Milwaukee, WI",43.020668,-87.909074
Wisconsin,,WI,43.028198,-87.91182
New Hampshire,,,43.377371,-71.61681
Milwaukee,,"Milwaukee, WI",43.020668,-87.909074
Wisconsin,,WI,43.028198,-87.91182
Wisconsin,,WI,43.028198,-87.91182
America,,,37.160477,-96.277202
Canada,,,57.679315,-101.736004
American,,,37.160477,-96.277202
American,,,37.160477,-96.277202
American,,,37.160477,-96.277202
Dartmouth,,"Hanover, NH",43.704425,-72.288704
Dartmouth,,"Hanover, NH",43.704425,-72.288704
Dartmouth,,"Hanover, NH",43.704425,-72.288704
Philadelphia,,"Philadelphia, PA",39.9522209,-75.162178
Philadelphia,,"Philadelphia, PA",39.9522209,-75.162178
Philadelphia,,"Philadelphia, PA",39.9522209,-75.162178
Philadelphia,,"Philadelphia, PA",39.9522209,-75.162178
America,,,37.160477,-96.277202
Hanover,,,43.377371,-71.61681
Philadelphia,,"Philadelphia, PA",39.9522209,-75.162178
"Albany,Vermont",,"Albany, VT",44.740293,-72.34302
Norwich,,"Norwich, VT ",43.754758,-72.324266
Norwich,,"Norwich, VT ",43.754758,-72.324266
91,,,44.671428,-72.132994
Norwich,,"Norwich, VT ",43.754758,-72.324266
Dartmouth,,"Hanover, NH",43.704425,-72.288704
American,,,37.160477,-96.277202
Iraq,,,33.040648,43.182035
Afghanistan,,,33.939593,67.709967
Kuwait,,,29.374793,47.98015
Vietnam,,,14.572049,108.128215
Vietnamese,,,14.572049,108.128215
United States of America,,,37.160477,-96.277202
Vietnamese,,,14.572049,108.128215
Vietnamese,,,14.572049,108.128215
Vietnam,,,14.572049,108.128215
American,,,37.160477,-96.277202
U.S.,,,37.160477,-96.277202
Parkhurst,14 N Main St,"Hanover, NH",43.70367,-72.28956
Vietnam,,,14.572049,108.128215
