name,address,city,lattitude,longitude
Lebanon,,"Lebanon, NH",43.634146,-72.252426
Vietnam,,,21.018786,105.833333
New Hampshire,,NH,43.216231,-71.525797
Canaan,,"Canaan, NH",43.677204,-72.045856
Dartmouth,,"Hanover, NH",43.703757,-72.288889
Milwaukee,,"Milwaukee, WI",43.020668,-87.909074
New Hampshire,,NH,43.216231,-71.525797
Lebanon,,"Lebanon, NH",43.634146,-72.252426
Dartmouth,,"Hanover, NH",43.703757,-72.288889
New Hampshire,,NH,43.216231,-71.525797
Milwaukee,,"Milwaukee, WI",43.020668,-87.909074
Dartmouth,,"Hanover, NH",43.703757,-72.288889
Webster Hall,,"Hanover, NH",43.706482,-72.292566
Lebanon,,"Lebanon, NH",43.634146,-72.252426
New Hampshire,,NH,43.216231,-71.525797
American,,,38.88953,-77.009305
Wisconsin,,WI,43.028198,-87.91182
Wisconsin,,WI,43.028198,-87.91182
New Hampshire,,NH,43.216231,-71.525797
Milwaukee,,"Milwaukee, WI",43.020668,-87.909074
Wisconsin,,WI,43.028198,-87.91182
New Hampshire,,NH,43.216231,-71.525797
Milwaukee,,"Milwaukee, WI",43.020668,-87.909074
Wisconsin,,WI,43.028198,-87.91182
Wisconsin,,WI,43.028198,-87.91182
America,,,38.88953,-77.009305
Canada,,,45.423567,-75.700174
American,,,38.88953,-77.009305
American,,,38.88953,-77.009305
American,,,38.88953,-77.009305
Dartmouth,,"Hanover, NH",43.703757,-72.288889
Dartmouth,,"Hanover, NH",43.703757,-72.288889
Dartmouth,,"Hanover, NH",43.703757,-72.288889
Philadelphia,,"Philadelphia, PA",40.005044,-75.12765
Philadelphia,,"Philadelphia, PA",40.005044,-75.12765
Philadelphia,,"Philadelphia, PA",40.005044,-75.12765
Philadelphia,,"Philadelphia, PA",40.005044,-75.12765
America,,,38.88953,-77.009305
Hanover,,"Hanover, NH",43.703757,-72.288889
Philadelphia,,"Philadelphia, PA",40.005044,-75.12765
"Albany,Vermont",,"Albany, VT",44.740293,-72.34302
Norwich,,"Norwich, VT ",43.754758,-72.324266
Norwich,,"Norwich, VT ",43.754758,-72.324266
91,,,44.671428,-72.132994
